UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 00:39 ?        00:00:02 /sbin/init splash
root           2       0  0 00:39 ?        00:00:00 [kthreadd]
root           3       2  0 00:39 ?        00:00:00 [rcu_gp]
root           4       2  0 00:39 ?        00:00:00 [rcu_par_gp]
root           5       2  0 00:39 ?        00:00:00 [slub_flushwq]
root           6       2  0 00:39 ?        00:00:00 [netns]
root           8       2  0 00:39 ?        00:00:00 [kworker/0:0H-events_highpri]
root          10       2  0 00:39 ?        00:00:00 [mm_percpu_wq]
root          11       2  0 00:39 ?        00:00:00 [rcu_tasks_kthread]
root          12       2  0 00:39 ?        00:00:00 [rcu_tasks_rude_kthread]
root          13       2  0 00:39 ?        00:00:00 [rcu_tasks_trace_kthread]
root          14       2  0 00:39 ?        00:00:00 [ksoftirqd/0]
root          15       2  0 00:39 ?        00:00:01 [rcu_preempt]
root          16       2  0 00:39 ?        00:00:00 [migration/0]
root          17       2  0 00:39 ?        00:00:00 [idle_inject/0]
root          19       2  0 00:39 ?        00:00:00 [cpuhp/0]
root          20       2  0 00:39 ?        00:00:00 [cpuhp/1]
root          21       2  0 00:39 ?        00:00:00 [idle_inject/1]
root          22       2  0 00:39 ?        00:00:00 [migration/1]
root          23       2  0 00:39 ?        00:00:00 [ksoftirqd/1]
root          25       2  0 00:39 ?        00:00:00 [kworker/1:0H-events_highpri]
root          26       2  0 00:39 ?        00:00:00 [cpuhp/2]
root          27       2  0 00:39 ?        00:00:00 [idle_inject/2]
root          28       2  0 00:39 ?        00:00:00 [migration/2]
root          29       2  0 00:39 ?        00:00:00 [ksoftirqd/2]
root          31       2  0 00:39 ?        00:00:00 [kworker/2:0H-events_highpri]
root          32       2  0 00:39 ?        00:00:00 [cpuhp/3]
root          33       2  0 00:39 ?        00:00:00 [idle_inject/3]
root          34       2  0 00:39 ?        00:00:00 [migration/3]
root          35       2  0 00:39 ?        00:00:00 [ksoftirqd/3]
root          37       2  0 00:39 ?        00:00:00 [kworker/3:0H-kblockd]
root          38       2  0 00:39 ?        00:00:00 [cpuhp/4]
root          39       2  0 00:39 ?        00:00:00 [idle_inject/4]
root          40       2  0 00:39 ?        00:00:00 [migration/4]
root          41       2  0 00:39 ?        00:00:00 [ksoftirqd/4]
root          43       2  0 00:39 ?        00:00:00 [kworker/4:0H-events_highpri]
root          44       2  0 00:39 ?        00:00:00 [cpuhp/5]
root          45       2  0 00:39 ?        00:00:00 [idle_inject/5]
root          46       2  0 00:39 ?        00:00:00 [migration/5]
root          47       2  0 00:39 ?        00:00:00 [ksoftirqd/5]
root          49       2  0 00:39 ?        00:00:00 [kworker/5:0H-events_highpri]
root          50       2  0 00:39 ?        00:00:00 [kdevtmpfs]
root          51       2  0 00:39 ?        00:00:00 [inet_frag_wq]
root          52       2  0 00:39 ?        00:00:00 [kauditd]
root          53       2  0 00:39 ?        00:00:00 [khungtaskd]
root          54       2  0 00:39 ?        00:00:00 [kworker/u12:1-events_power_efficient]
root          55       2  0 00:39 ?        00:00:00 [oom_reaper]
root          56       2  0 00:39 ?        00:00:00 [kworker/u12:2-events_unbound]
root          57       2  0 00:39 ?        00:00:00 [writeback]
root          58       2  0 00:39 ?        00:00:00 [kcompactd0]
root          59       2  0 00:39 ?        00:00:00 [ksmd]
root          60       2  0 00:39 ?        00:00:00 [khugepaged]
root          61       2  0 00:39 ?        00:00:00 [kintegrityd]
root          62       2  0 00:39 ?        00:00:00 [kblockd]
root          63       2  0 00:39 ?        00:00:00 [blkcg_punt_bio]
root          64       2  0 00:39 ?        00:00:00 [tpm_dev_wq]
root          65       2  0 00:39 ?        00:00:00 [ata_sff]
root          66       2  0 00:39 ?        00:00:00 [md]
root          67       2  0 00:39 ?        00:00:00 [edac-poller]
root          68       2  0 00:39 ?        00:00:00 [devfreq_wq]
root          69       2  0 00:39 ?        00:00:00 [watchdogd]
root          72       2  0 00:39 ?        00:00:00 [kworker/5:1H-kblockd]
root          73       2  0 00:39 ?        00:00:00 [kswapd0]
root          74       2  0 00:39 ?        00:00:00 [ecryptfs-kthread]
root          80       2  0 00:39 ?        00:00:00 [kthrotld]
root          82       2  0 00:39 ?        00:00:00 [kworker/5:2-mm_percpu_wq]
root          85       2  0 00:39 ?        00:00:00 [acpi_thermal_pm]
root          86       2  0 00:39 ?        00:00:00 [xenbus_probe]
root          87       2  0 00:39 ?        00:00:00 [scsi_eh_0]
root          88       2  0 00:39 ?        00:00:00 [scsi_tmf_0]
root          89       2  0 00:39 ?        00:00:00 [scsi_eh_1]
root          90       2  0 00:39 ?        00:00:00 [scsi_tmf_1]
root          91       2  0 00:39 ?        00:00:00 [vfio-irqfd-clea]
root          93       2  0 00:39 ?        00:00:00 [kworker/1:1-events]
root          95       2  0 00:39 ?        00:00:00 [mld]
root          96       2  0 00:39 ?        00:00:00 [ipv6_addrconf]
root         101       2  0 00:39 ?        00:00:00 [kstrp]
root         108       2  0 00:39 ?        00:00:00 [zswap-shrink]
root         109       2  0 00:39 ?        00:00:00 [kworker/u13:0]
root         155       2  0 00:39 ?        00:00:00 [charger_manager]
root         156       2  0 00:39 ?        00:00:00 [kworker/3:1H-kblockd]
root         180       2  0 00:39 ?        00:00:00 [kworker/4:1H-kblockd]
root         203       2  0 00:39 ?        00:00:00 [kworker/0:1H-kblockd]
root         205       2  0 00:39 ?        00:00:00 [scsi_eh_2]
root         206       2  0 00:39 ?        00:00:00 [scsi_tmf_2]
root         211       2  0 00:39 ?        00:00:00 [kworker/1:1H-kblockd]
root         212       2  0 00:39 ?        00:00:00 [kworker/2:1H-kblockd]
root         232       2  0 00:39 ?        00:00:00 [jbd2/sda3-8]
root         233       2  0 00:39 ?        00:00:00 [ext4-rsv-conver]
root         272       1  0 00:39 ?        00:00:00 /lib/systemd/systemd-journald
root         297       2  0 00:39 ?        00:00:00 [kworker/2:2-events]
root         304       2  0 00:39 ?        00:00:00 [kworker/3:2-events]
root         306       2  0 00:39 ?        00:00:00 [irq/18-vmwgfx]
root         307       2  0 00:39 ?        00:00:00 [card0-crtc0]
